id,post_parent,image,image_gallery,post_title,post_content,post_excerpt,post_name,post_date,_sku,product_cat,product_tag,_regular_price,_sale_price,_sale_price_dates_from,_sale_price_dates_to,_featured,_tax_status,_tax_class,_weight,_height,_width,_length,_stock,_stock_status,_manage_stock,_backorders,_sold_individually,product_shipping_class,grouped_items,_product_adminlink,_purchase_note,post_status,_visibility,_upsell_ids,_crosssell_ids,_downloadable,_virtual,_download_expiry,_download_limit,_downloadable_files,_download_type,_product_url,_button_text,comment_status,menu_order,product_type,_product_permalink,_default_attributes,_custom_attributes,_variation_description,post_author,attribute_pa_size,attribute_pa_team,attribute_pa_color,attribute_pa_design,attribute_pa_name-printing-embroidery,attribute_pa_trainingshoe,attribute_pa_racespikes,attribute_pa_trainshoesize,attribute_pa_racespikesize,attribute_pa_tsize,attribute_pa_soccershoe,attribute_pa_shinguardsize,attribute_pa_soccerballsize,attribute_pa_sports-emblem-on-jacket
77771,0,https://ritchiessports.com/wp-content/uploads/2020/04/ascis-mens-4000.jpg,,Men's  Asics GT-4000 (Men's Running),,"Run further for longer in the men's GT-4000&#x2122; running shoe, specifically geared to enhance your performance. Designed to give you the boost you need to really go the distance, this ASICS running shoe offers excellent cushioning with GEL® technology and SpEVA foam to the midsole, which help to put a spring in your step. Whether you're running competitively or just for fun, it doesn't matter. The GT-4000&#x2122; running shoe offers the stability you need with the inclusion of GUIDANCE LINE&#x2122; technology and TRUSSTIC SYSTEM® technology, which enhance gait efficiency and control torsion for an overall improved performance. The I.G.S® (Impact Guidance System) technology also works to improve the gait, helping the feet to move in a more natural manner. Crafted with mesh fabric to allow the feet to breathe, this lightweight running shoe offers a high-energy bounce with its FLYTEFOAM® technology, as well as better foot protection thanks to its DUOMAX® midsole. This feature helps to counteract overpronation by supporting the arch and midsole, reducing the risk of bunions and flat feet and thus promising a better running technique. molded AHARPLUS&#x2122; rubber heel plug brings a hardwearing quality to the shoe, minimizing scuffs caused by excessive wear, while a molded internal heel counter provides an adaptive fit. Complete with a signature design finish, the GT-4000&#x2122; shoe will help you take your running up to the next level.",mens-asics-gt-4000-mens-running,2020-04-14 00:48:00,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,2,instock,yes,no,,,,post.php?post=77771&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-gt-4000-mens-running/,,,,Joshua Ritchie,,,Dark Grey/Safety Yellow,,,,,"men\'s 7.5, men\'s 10.5, men\'s 11, men\'s 11.5, men\'s 12, men\'s 12.5, men\'s 13, men\'s 14",,,,,,
77778,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 7.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 7.5,,,,,,
77779,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 14)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 14,,,,,,
77780,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 13)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 13,,,,,,
77781,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 12.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 12.5,,,,,,
77782,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 12)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,5,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 12,,,,,,
77783,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 11.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,6,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 11.5,,,,,,
77784,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 11)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,7,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 11,,,,,,
77785,77771,,,Men's  Asics GT-4000 (Men's Running) [#77771 var] (men\'s 10.5)(Dark Grey/Safety Yellow),,,,,,,,130,,,,,taxable,Standard,,,,,2,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,8,,,,,,,,,Dark Grey/Safety Yellow,,,,,men\'s 10.5,,,,,,
77761,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-mens-1000.jpg,,Men's  Asics 1000 8 (Men's Running),,"Enjoy comfort with every stride with the men's GT-1000&#x2122; 8 running shoe, featuring FLYTEFOAM® Propel technology for a remarkably lightweight quality that will make you feel as light as a feather. With a jacquard mesh upper to allow the feet to breathe easily, this ASICS running shoe guarantees a comfortable fit, with its strategically located GEL® technology providing high-density shock absorption to extend comfort over the distance. In addition, the EVA foam to the sockliner and lasting provides excellent cushioning and rebound, while keeping the foot stable for enhanced safety throughout. The TRUSSTIC SYSTEM® technology also works to improve stability in the mid-foot area, helping to control torsion with the contoured midsole. The molded AHAR® rubber sponge helps reduce damage from excessive wear, allowing you to run on most terrains with confidence and reassurance. On top of providing comfort and stability, the GT-1000&#x2122; 8 running shoe also works to counteract overpronation with its DUOMAX® technology, which imparts essential firmness to the midsole and arch. A standard width makes them accessible to most runners, while signature ASICS branding lend a contemporary finishing touch.",mens-asics-1000-8-mens-running,2020-04-14 00:43:08,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77761&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-1000-8-mens-running/,,,,Joshua Ritchie,,,Black/Black,,,,,"men\'s 8.5, men\'s 9, men\'s 10.5, men\'s 11.5, men\'s 12",,,,,,
77788,77761,,,Men's  Asics 1000 8 (Men's Running) [#77761 var] (men\'s 9)(Black / Black),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Black / Black,,,,,men\'s 9,,,,,,
77789,77761,,,Men's  Asics 1000 8 (Men's Running) [#77761 var] (men\'s 8.5)(Black / Black),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Black / Black,,,,,men\'s 8.5,,,,,,
77790,77761,,,Men's  Asics 1000 8 (Men's Running) [#77761 var] (men\'s 12)(Black / Black),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Black / Black,,,,,men\'s 12,,,,,,
77791,77761,,,Men's  Asics 1000 8 (Men's Running) [#77761 var] (men\'s 11.5)(Black / Black),,,,,,,,90,69.95,,,,taxable,Standard,,,,,2,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Black / Black,,,,,men\'s 11.5,,,,,,
77792,77761,,,Men's  Asics 1000 8 (Men's Running) [#77761 var] (men\'s 10.5)(Black / Black),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,5,,,,,,,,,Black / Black,,,,,men\'s 10.5,,,,,,
77752,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-mens-nimbus.jpg,,Men's  Asics Gel Nimbus 21 (Men's Running),,"Run further than you thought possible in the GEL-NIMBUS® 21 running shoe for men by ASICS - packed full of plush cushioning and special technologies to respond to your natural stride. The GEL-NIMBUS® 21 shoe is fitted with our I.G.S® (Impact Guidance System) technology: a construction technique that allows the shoe to respond to your natural gait. The TRUSSTIC SYSTEM® technology provides added stability so you can focus on pushing yourself further than ever. The upper is made from Jacquard mesh and will fit snugly, allowing air to flow and keep the foot fresh as you run and run. Our famous GEL® technology in the front and rear sole gives you energized cushioning in the form of shock-absorbing silicone for heavy-impact activity. Meanwhile, FLYTEFOAM® Propel technology in the midsole offers excellent bounce and toe-off. This lightweight foam formulation has a special high-energy return elastomer helping to put a spring in your step. Gain even more bounce with our SpEVA insole, which also helps the shoe last. To ensure a great fit, there's an external heel counter which holds your heel firmly, keeping you comfortable as you pound the miles. And we've added an AHARPLUS&#x2122; heel plug on the outsole to help you be able to run as long as you want. This ASICS High Abrasion Resistance Rubber is a tough rubber compound used to reduce excessive wear. If the light is dim you'll still be seen thanks to the reflective detail we've included. All of this lets the shoe take the strain so you can concentrate on what matters: your breathing and your pace.",mens-asics-gel-nimbus-21-mens-running,2020-04-14 00:39:19,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77752&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-gel-nimbus-21-mens-running/,,,,Joshua Ritchie,,,Black/Classic Red,,,,,"men\'s 10, men\'s 11, men\'s 12",,,,,,
77758,77752,,,Men's  Asics Gel Nimbus 21 (Men's Running) [#77752 var] (men\'s 12)(Black/Classic Red),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Black/Classic Red,,,,,men\'s 12,,,,,,
77759,77752,,,Men's  Asics Gel Nimbus 21 (Men's Running) [#77752 var] (men\'s 11)(Black/Classic Red),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Black/Classic Red,,,,,men\'s 11,,,,,,
77760,77752,,,Men's  Asics Gel Nimbus 21 (Men's Running) [#77752 var] (men\'s 10)(Black/Classic Red),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Black/Classic Red,,,,,men\'s 10,,,,,,
77740,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-mens-kayano.jpg,,Men's  Asics Gel Kayano 26 (Men's Running),,"Enjoy luxurious comfort and improved bounce with the men's GEL-KAYANO® 26 running shoe, featuring GEL® technology to the forefoot and rear for high-density shock absorption and a comfortable feel over long distances. Featuring a jacquard mesh upper and FLYTEFOAM® Propel technology for a lightweight quality that allows your feet to breathe, this ASICS running shoe is all about going the distance, providing exceptional support and comfort over long periods of time. The EVA sockliner offers excellent rebound and cushioning, while the Guidance TRUSSTIC SYSTEM® technology brings a new level of stability, working with the contoured midsole to help control torsion. Meanwhile, the SpEVA 45 lasting improves bounce-back characteristics to put a spring in your step (quite literally). If your feet tend to roll inwards as you run, fret not. The DUOMAX® midsole offers smooth overpronation control by combining two different density materials to reduce the risk of flat feet and bunions. Meanwhile, the AHAR® rubber sponge helps to reduce excessive wear for a longer lifespan. This edition of the GEL-KAYANO® 26 running shoe showcases a vibrant new design to inspire you to unleash your inner runner, on those days when you might need a little extra motivation, while added reflective details improve your visibility when you're out after-dark.",mens-asics-gel-kayano-26-mens-running,2020-04-14 00:35:08,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,2,instock,yes,no,,,,post.php?post=77740&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/mens-asics-gel-kayano-26-mens-running/,,,,Joshua Ritchie,,,Piedmont Grey/ Black,,,,,"men\'s 10, men\'s 10.5, men\'s 11.5, men\'s 12",,,,,,
77747,77740,,,Men's  Asics Gel Kayano 26 (Men's Running) [#77740 var] (men\'s 12)(Piedmont Grey/ Black),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Piedmont Grey/ Black,,,,,men\'s 12,,,,,,
77748,77740,,,Men's  Asics Gel Kayano 26 (Men's Running) [#77740 var] (men\'s 11.5)(Piedmont Grey/ Black),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Piedmont Grey/ Black,,,,,men\'s 11.5,,,,,,
77749,77740,,,Men's  Asics Gel Kayano 26 (Men's Running) [#77740 var] (men\'s 10.5)(Piedmont Grey/ Black),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Piedmont Grey/ Black,,,,,men\'s 10.5,,,,,,
77750,77740,,,Men's  Asics Gel Kayano 26 (Men's Running) [#77740 var] (men\'s 10)(Piedmont Grey/ Black),,,,,,,,160,,,,,taxable,Standard,,,,,2,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Piedmont Grey/ Black,,,,,men\'s 10,,,,,,
77729,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-ladies-roadhawk.jpg,,Ladies Asics Roadhawk FF 2MX (Ladies Running),,"Speed up in style with the ASICS ROADHAWK FF 2 MX running shoes for women, engineered to help you push your performance to the next level. Built for speed, this new model features a stylish upper with a streamlined design and a two-layer jacquard mesh for enhanced breathability. But it's not all about keeping up appearances - we've added some of our top running technologies to help you move faster, too! A FLYTEFOAM® Lyte midsole provides energetic bounce, with its construction specially formulated for greater spring and toe-off. These shoes also feature our innovative SPeVA® Lasting technology, providing lightweight cushioning that means you won't feel anything dragging you down, allowing you to fully focus on beating your personal best. The ASICS ROADHAWK FF 2 MX women's running shoes also feature Guidance-line technology, with vertical grooves on the sole of the shoe to improve balance. These grooves run all the way from the heel to the toe, reducing any imbalance caused by shifts in your center of pressure. The midfoot part of the shoe is designed to provide a great feeling of lockdown and support, while the expertly designed forefoot shape ensures your feet stay comfortable as you run like the wind. The outsole of these shoes contains ASICS High Abrasion Resistant Rubber, helping to reduce any damage caused by long-term use. And that's a good thing, because with their streamlined look and responsive technology, you'll want to wear them every day. """,ladies-asics-roadhawk-ff-2mx-ladies-running,2020-04-14 00:29:47,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77729&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/ladies-asics-roadhawk-ff-2mx-ladies-running/,,,,Joshua Ritchie,,,Dark Grey/Black,,,,,"women\'s 9, women\'s 9.5, women\'s 10, women\'s 11",,,,,,
77735,77729,,,Ladies Asics Roadhawk FF 2MX (Ladies Running) [#77729 var] (women\'s 9.5)(Dark Grey/Black),,,,,,,,100,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Dark Grey/Black,,,,,women\'s 9.5,,,,,,
77736,77729,,,Ladies Asics Roadhawk FF 2MX (Ladies Running) [#77729 var] (women\'s 9)(Dark Grey/Black),,,,,,,,100,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Dark Grey/Black,,,,,women\'s 9,,,,,,
77737,77729,,,Ladies Asics Roadhawk FF 2MX (Ladies Running) [#77729 var] (women\'s 11)(Dark Grey/Black),,,,,,,,100,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Dark Grey/Black,,,,,women\'s 11,,,,,,
77738,77729,,,Ladies Asics Roadhawk FF 2MX (Ladies Running) [#77729 var] (women\'s 10)(Dark Grey/Black),,,,,,,,100,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Dark Grey/Black,,,,,women\'s 10,,,,,,
77718,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-ladies-1000-8.jpg,,Ladies Asics 1000 8 (Ladies Running),,"Enjoy comfort with every stride with the women's GT-1000&#x2122; 8 running shoe, featuring FLYTEFOAM® Propel technology for a remarkably lightweight quality that will make you feel as light as a feather. With a jacquard mesh upper to allow the feet to breathe easily, this ASICS running shoe guarantees a comfortable fit, with its strategically located GEL® technology providing high-density shock absorption to extend comfort over the distance. In addition, the EVA foam to the sockliner and lasting provides excellent cushioning and rebound, while keeping the foot stable for enhanced safety throughout. The TRUSSTIC SYSTEM® technology also works to improve stability in the mid-foot area, helping to control torsion with the contoured midsole. The molded AHAR® rubber sponge helps reduce damage from excessive wear, allowing you to run on most terrains with confidence and reassurance. On top of providing comfort and stability, the GT-1000&#x2122; 8 running shoe also works to counteract overpronation with its DUOMAX® technology, which imparts essential firmness to the midsole and arch. A standard width makes them accessible to most runners, while signature ASICS branding lend a contemporary finishing touch.",ladies-asics-1000-8-ladies-running,2020-04-14 00:24:22,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77718&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/ladies-asics-1000-8-ladies-running/,,,,Joshua Ritchie,,,Grey Floss/ Silver,,,,,"women\'s 8, women\'s 8.5, women\'s 9, women\'s 9.5, women\'s 10",,,,,,
77724,77718,,,Ladies Asics 1000 8 (Ladies Running) [#77718 var] (women\'s 9.5)(Grey Floss/ Silver),,,,,,,,90,69.95,,,,taxable,Standard,,,,,3,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Grey Floss/ Silver,,,,,women\'s 9.5,,,,,,
77725,77718,,,Ladies Asics 1000 8 (Ladies Running) [#77718 var] (women\'s 9)(Grey Floss/ Silver),,,,,,,,90,69.95,,,,taxable,Standard,,,,,2,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Grey Floss/ Silver,,,,,women\'s 9,,,,,,
77726,77718,,,Ladies Asics 1000 8 (Ladies Running) [#77718 var] (women\'s 8.5)(Grey Floss/ Silver),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Grey Floss/ Silver,,,,,women\'s 8.5,,,,,,
77727,77718,,,Ladies Asics 1000 8 (Ladies Running) [#77718 var] (women\'s 8)(Grey Floss/ Silver),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Grey Floss/ Silver,,,,,women\'s 8,,,,,,
77728,77718,,,Ladies Asics 1000 8 (Ladies Running) [#77718 var] (women\'s 10)(Grey Floss/ Silver),,,,,,,,90,69.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,5,,,,,,,,,Grey Floss/ Silver,,,,,women\'s 10,,,,,,
77708,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-ladies-nimbus.jpg,,Ladies Asics Nimbus 21 (Ladies Running),,"Run further than you thought possible in the GEL-NIMBUS® 21 running shoe for women by ASICS - packed full of plush cushioning and special technologies to respond to your natural stride. Now with a vibrant new design, it will get you pumped to unleash your inner runner, even when it's grey outside. The GEL-NIMBUS® 21 shoe is fitted with our I.G.S® (Impact Guidance System) technology: a construction technique that allows the shoe to respond to your natural gait. TRUSSTIC SYSTEM® technology provides added stability. The upper is made from Jacquard mesh and will fit snugly, allowing air to flow and keep the foot fresh as you run and run. Our famous GEL® technology in the front and rear sole gives you energized cushioning in the form of shock-absorbing silicone for heavy-impact activity. Meanwhile, FLYTEFOAM® Propel technology in the midsole offers excellent bounce and toe-off. This lightweight foam formulation has a special high-energy return elastomer helping to put a spring in your step. Gain even more bounce with our SpEVA insole, which also helps the shoe last. To ensure a great fit, there's an external heel counter which holds your heel firmly, keeping you comfortable as you pound the miles. And we've added an AHARPLUS&#x2122; heel plug on the outsole to help you be able to run as long as you want. This ASICS High Abrasion Resistance Rubber is a tough rubber compound used to reduce excessive wear. All of this lets the shoe take the strain so you can concentrate on what matters: your breathing and pace.",ladies-asics-nimbus-21-ladies-running,2020-04-14 00:18:16,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77708&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/ladies-asics-nimbus-21-ladies-running/,,,,Joshua Ritchie,,,Illusion Blue/Black,,,,,"women\'s 7.5, women\'s 8, women\'s 8.5, women\'s 9",,,,,,
77713,77708,,,Ladies Asics Nimbus 21 (Ladies Running) [#77708 var] (women\'s 9)(Illusion Blue/Black),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,Illusion Blue/Black,,,,,women\'s 9,,,,,,
77714,77708,,,Ladies Asics Nimbus 21 (Ladies Running) [#77708 var] (women\'s 8.5)(Illusion Blue/Black),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,Illusion Blue/Black,,,,,women\'s 8.5,,,,,,
77715,77708,,,Ladies Asics Nimbus 21 (Ladies Running) [#77708 var] (women\'s 8)(Illusion Blue/Black),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,Illusion Blue/Black,,,,,women\'s 8,,,,,,
77716,77708,,,Ladies Asics Nimbus 21 (Ladies Running) [#77708 var] (women\'s 7.5)(Illusion Blue/Black),,,,,,,,150,99.95,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,Illusion Blue/Black,,,,,women\'s 7.5,,,,,,
77697,0,https://ritchiessports.com/wp-content/uploads/2020/04/asics-Kayano-ladies.jpg,,Ladies Asics Kayano 26 (Ladies Running),,"Embrace your natural running style and enjoy remarkable comfort with the women's GEL-KAYANO® 26 KAI running shoe, featuring GEL® technology to the forefoot and rear for high-density shock absorption and a comfortable feel over long distances. Featuring a jacquard mesh upper and FLYTEFOAM® Propel technology for a lightweight quality that allows your feet to breathe, this ASICS running shoe offers excellent support and stability for those big mile days. The EVA sockliner provides great rebound and cushioning, while the Guidance TRUSSTIC SYSTEM® technology brings a new level of stability to the shoe, helping to control torsion along with the contoured midsole. Meanwhile, the SpEVA 45 lasting puts a spring in your step by improving bounce-back characteristics and decreasing midsole breakdown. Do your feet roll inwards when running? Don't worry, the DUOMAX® midsole will help to support your arches, offering smooth overpronation control with its two different density materials. Complete with an AHAR® rubber sponge to reduce excessive wear, and reflective details to keep you safe after dark, the GEL-KAYANO® 26 KAI shoe is in a league of its own.",ladies-asics-kayano-26-ladies-running,2020-04-13 23:29:35,,Running Shoes,,50.00,,,,,taxable,Standard,,,,,1,instock,yes,no,,,,post.php?post=77697&action=edit,,publish,,,,no,no,-1,-1,,,,,no,0,variable,https://ritchiessports.com/product/ladies-asics-kayano-26-ladies-running/,,,,Joshua Ritchie,,,White/Lazor Pink,,,,,"women\'s 7, women\'s 7.5, women\'s 9.5, women\'s 10",,,,,,
77704,77697,,,Ladies Asics Kayano 26 (Ladies Running) [#77697 var] (women\'s 9.5)(White/Lazor Pink),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,1,,,,,,,,,White/Lazor Pink,,,,,women\'s 9.5,,,,,,
77705,77697,,,Ladies Asics Kayano 26 (Ladies Running) [#77697 var] (women\'s 7.5)(White/Lazor Pink),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,2,,,,,,,,,White/Lazor Pink,,,,,women\'s 7.5,,,,,,
77706,77697,,,Ladies Asics Kayano 26 (Ladies Running) [#77697 var] (women\'s 7)(White/Lazor Pink),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,3,,,,,,,,,White/Lazor Pink,,,,,women\'s 7,,,,,,
77707,77697,,,Ladies Asics Kayano 26 (Ladies Running) [#77697 var] (women\'s 10)(White/Lazor Pink),,,,,,,,160,,,,,taxable,Standard,,,,,1,instock,no,no,,,,,,publish,,,,no,no,-1,-1,,,,,no,4,,,,,,,,,White/Lazor Pink,,,,,women\'s 10,,,,,,
